content,label
Dostawa zgodnie z podanym terminem. Towar na zamówienie 3 tyg. był u mnie w 3 tyg.,1
"Szybka i przyjemna transakcja, wszystko bez zarzutu. Polecam!",1
Profesjonalnie i szybko. Polecał.,1
Szybko i sprawnie oraz zgodnie z zmówieniem. Polecam,1
"Polecam zakupy w tym sklepie,  drugi raz zdecydowalem sie na ten sklep i jestem zadowolony.",1
szybka realizacja. Towar w 100% zgodny z zamówieniem . Polecam,1
"Wszystko super, nawet bardzo super, ale cena plyty mogla by byc nizsza :)",1
Transakcja przebiegła bez problemu.,1
Super profesjonalnie. Jestem bardzo zadowolony. Polecam,1
Transakcja przebiegła pomyślnie.Gorąco Polecam,1
"Wszystko poszło sprawnie, towar wg opisu.",1
Realizacja transakcji była błyskawiczna. Polecam tę firmę.,1
"Bardzo szybko, sprawnie i konkretnie. Paczka wysłana szybciej niż bym się tego mógł spodziewać! Polecam jak najbardziej.",1
Wszystko przebiegło szybko i bez problemu.,1
bardzo sprawna i szybka dostawa - polecam,1
"Transakcja O.K Jak zwykle w North.pl
Trochę długo szła przesyłka, ale to mogę zrzucić na kuriera.",1
"Szybka i sprawna transakcja, polecam sprzedającego.",1
"Szybko, sprawnie, towar odpowiednio zapakowany, zgodny z opisem, dobrej jakości.",1
"Pełen profesjonalizm, już kolejny raz z north.pl.",1
Transakcja przebiegła błyskawicznie. Świetny kontakt ze strony sklepu. Wiedziałem o każdym kroku przesyłki. Sprzedawca godny uwagi. Gorąco POLECAM north.pl !!!,1
Szybko i sprawnie - zgodnie z oczekiwaniami.,1
Wszystko bardzo ok. Jednak jedno ale mam do Pani z infolinii...mogloby być milej w obsłudze. To One są dla klientów i to Nimi my mamy pierwszy kontakt. Jeżeli pracują za karę to trzeba coś zmienić,1
"Towar zgodny z opisem,profesjonalna obsługa jak  i szybki termin dostawy.Szczerze Polecam",1
bardzo sprawna wysyłka. polecam i pozdrawiam.,1
"Tak powinna wyglądać obsługa klienta i zakupy w internecie!!!. Sam prowadzę sklep internetowy i z chęcią ""skopiuję"" kilka punktów z Waszej obsługi.
Dziękuję i serdecznie pozdrawiam",1
Transakcja szybka i bez problemów,1
Polecam. Wszystko sprawnie i szybko.,1
Transakcja błyskawiczna i porządnie zapakowany towar.,1
Wspaniale-dzięki wspołpracy z Waszym konsultantem,1
Transakcja przebiegła bez zarzutów. Super!,1
Profesjonalna obsługa. Szybka i rzetelna realizacja. Polecam.,1
transakcja przebiegła bez problemów błyskawicznie,1
Transakcja przebiegła sprawnie i profesjonalnie.,1
"Duży wybór, błyskawiczna obsługa.",1
"Profesjonalna, szybka i sprawna obsługa. Sklep godny polecenia.",1
"Szybko, profesjonalnie - towar zgodny z opisem",1
transakcja przebiegła bezproblemowo i sprawnie,1
Ekspresowa realizacja zamówienia. Polecam.,1
Profesjonalne zakupy bardzo szybka wysyła.,1
"szybko, sprawnie i bezproblemowo. Polecam!",1
Transakcja przebiegła bardzo szybko. Polecam gorąco.,1
"Naprawdę świetny sklep, realizacja zamówienia kompletnie bezproblemowa.",1
Transakcja przebiegła szybko i sprawnie. Polecam.,1
"Szybko, sprawnie, profesjonalnie. POLECAM !!!",1
Transakcja bezproblemowa. Szybka wysyłka. Polecam.,1
Profesjonalna obsługa. Szybko i sprawnie. Polecam,1
"Duży wybór asortymentu i dobra obsługa,  jednak czas oczekiwania psuje trochę ogólne wrażenie.",1
Transakcja przebiegła szybko i przyjemnie.,1
Wszystko przebiegło sprawnie i szybko.,1
Szybka wysylka.Towar zgodny z opisem.Polecam ten sklep.,1
Bardzo sprawny serwis na wysokim poziomie.,1
bardzo szybko bez żadnych problemow,1
"Transakcja zrealizowana szybko, jestem bardzo zadowolony.Mogę polecić ten sklep.",1
Transakcja przebiegła bez żadnego problemu. Polecam ten sklep.,1
Poszukiwania odpowiedniej części do starej lodówki zakończone sukcesem.,1
Szybkie i sprawne zakupy. Pytanie- odpowiedz-zakup.  Polecam :),1
"Szybka obsługa, bezproblemowa dostawa, sklep wart polecenia",1
Profesjonalizm w każdym obszarze działania. Gorąco polecam.,1
Bardzo sprawnie i treściwie! - Polecam!,1
Termin dostawy wyświetlany przed zamówieniem to fikcja. Opóźnione dostarczenie paczki o dwa dni. Poza tym wszystko Ok.,1
Sprawnie fachowo profesjonalnie super,1
"Nie napotkałem żadnych problemów , zgrabnie znaleziono mi zamiennik dla poszukiwanej części . Polecam ten sklep",1
Profesjonalna obsługa poleciłbym ten sklep komuś innemu,1
Transakcja przebiegła bez zarzutu - szybko i sprawnie! Polecam!,1
bardzo sprawnie i bez żadnych uwag.,1
Profesjonalna obsługa polecam sprzedawcę,1
Profesjonalna obsługa. Polecam.,1
"Niesłychanie szybko, profesjonalnie. Rewelacja!",1
Szybko i profesjonalnie. Polecam.,1
Zamowienie zrealizowane szybko w terminie podanym przez sklep.,1
Wszystko zgodnie z oczekiwaniem.,1
"Szybko,profesjonalnie i bezproblemowo.",1
profesjonalnie bez zarzutu polecam,1
"Bardzo profesjonalna obsługa, błyskawiczna przesyłka. Polecam i sama chętnie skorzystam ponownie w razie potrzeby.",1
Wszystko szybko i sprawnie. Polecam!!!,1
"Szybko, sprawnie i profesjonalnie. Towar zgodny z opisem. Jak najbardziej polecam zakupy w tym sklepie.",1
"błyskawicznie, wcześniej niż było planowane",1
Jestem rozczarowany filmem pokazującym wymiany grzałki w pralce. Nierzetelny w prowadzający w błąd. Zasugerowałem się przy wymianie filmem i straciłem godzinę przez  bzdurny film.,1
"Doskonała, bardzo szybka realizacja. Przesyłka-paczkomat bez zastrzeżeń. Polecam!",1
"Bardzo sprawnie , polecam  z firmą współpracuję od lat, choć obecnie mniej intensywnie.",1
"Szybko, profesjonalnie, polecam.",1
Profesjonalne usługi. Polecam znajomemu,1
"Transakcja bezproblemowa, sprawna komunikacja, towar zgodny z zamówieniem.  Polecam !",1
"Świetna obsługa, ekspresowa realizacja - polecam.",1
Profesjonalna obsługa jak najbardziej polecam zakupy w tym sklepie. Transakcja szybka i przyjemna.,1
"Byłoby idealnie ,gdyby nie poślizg kuriera. Ale to firma kurierska nawaliła ,a north.pl bez zastrzeżeń !",1
Zamówienie zgodne z opisem i real foto.Bardzo szybko i sprawnie.Polecam kupującym !,1
Transakcja szybka i bez problemów.,1
Szybko! konkretnie ! i tak powinno być POLECAM !!!!,1
Pierwszy raz spotkałem się z tak profesjonalną obsługą i tak szybką realizacją zamówienia. Wszystkim polecam tą firmę,1
"szybko,część ,którą potrzebowałam mieli,polecam wszystkim",1
Poza małą pomyłką wszystko było ok. Korektura pomyłki była bardzo szybko rozwiązana.,1
towar zgodny z zamówieniem dobry kontakt ze sprzedawcą polecam,1
wszystko super polecam wszystkim,1
szybko i sprawnie.Pozdrawiam Miłkowska,1
"Super obsługa, szybka dostawa, polecam",1
Transakcja przebiegła pomyślnie.,1
"Bardzo sprawnie, szybka wysyłka.",1
"Błyskawiczna wysyłka, towar zgodny z opisem, gorąco polecam!",1
"Towar zgodny z opisem, przesłany szybko.",1
"Profesjonalna obsługa, sklep godny polecenia.",1
Jestem w pełni zadowolony i polecam wszystkim POZDRAWIAM,1
Szybka wysyłka. Wszystko zgodnie z opisem. Polecam!,1
Wszystko super. Fachowe doradztwo i ekspresowa realizacja zamówienia. Polecam.,1
Wszystko bylo zgodnie z opisem . Polecam,1
Profesjonalnie i rzetelnie. Polecam,1
Szybko sprawnie bezproblemowo polecam,1
"szybka obsługa,  profesjonalna strona internetowa, sprawna informacja na każdym etapie realizacji, polecam sprzedawcę",1
Szybka wysyłka. Super towar. Polecam,1
"Szybko , sprawnie tak jak być powinno. Zdecydowanie polecam.",1
"Profesjonalna obsługa , polecam wszystkim .",1
Profesjonalna obsługa. Towar zgodny z zamówieniem. Polecam,1
"Obsługa na najwyższym poziomie. Doskonały kontakt na infolinii, sprawne rozwiązanie problemu i informacja na e-mail, niezwłoczna wysyłka. Uczciwie i gorąco polecam firmę.",1
"Najbardziej profesjonalna obsługa pośród wszystkich sklepów internetowych 
Polecam",1
Wszystko OK - cóż więcej można napisać?,1
Bardzo sprawnie jestem zadiwolona,1
Transakcja przebiegła sprawnie. Polecam.,1
"Kolejny zakup, jak zwykle pewniak, szczerze polecam.",1
Bardzo szybka realizacja zamowienia,1
To już drugi zakup. Ponownie super. Polecam.,1
"Profesjonalna obsługa, sprawnie przeprowadzona transakcja, towar zgodny z opisem",1
"szybko, zgodnie z opisem. Polecam",1
"Wszystko wzorowo . Cześć nowa ładnie zapakowana, zgodna z opisem na stronie . Ekspres działa jak nowy . polecam sklep",1
Towar dotarł w mniej niż 24 godziny od zamówienia i był zgodny z opisem.,1
"Profesjonalna obsluga, tranaskcja przebiegła pomyślnie, kilkakrotnie skorzystałam z uslug tego sklepu i jak najbardziej polecam.",1
"szybko, bez najmniejszych problemów. Polecam",1
Transakcja przebiegła bez żadnych problemów. Polecam,1
Profesjonalna i szybka obsługa. Polecam zakupy w tym sklepie.,1
Profesjonalna obsługa. Gorąco polecam!,1
"Duży wybór, szybka realizacja wysyłki, polecam.",1
Polecam ze względu na szybkość dostarczenia przesyłki. To były moje trzecie zakupy i wszystko bez zastrzeżeń. Polecam!,1
Super. Konsultant przed zakupem pomógł mi w wyborze właściwego sznura.,1
Wszystko przebiegło szybko.i.bez problemu.,1
Profesjonalna obsługa. Bardzo szybka realizacja i dostawa zamówienia. Polecam.,1
Trazakcja szybka i profesjonalna,1
Bez problemów wszystko bardzo dobrze,1
Bezproblemowo - wręcz wzorcowo:-),1
"transakcja bardzo szybka, zakupiona część pracuje bezproblemowo",1
Jak najbardziej polecam zakupy w tym sklepie.,1
Profesjonalna obsługa. Część zgodna z zamówieniem. transakcja przebiegła bezproblemowo. Polecam ten sklep.,1
"Dobrze. Szkoda, że InPost nie precyzuje co oznacza, że dostarcza przesyłkę ""OD RANA""",1
Szybka dostawa prokuktu. Pełna profeska. Polecam .,1
Bardzo szybko i sprawnie. Polecam !!!,1
Super. Sprawnie. Szybko. Jestem bardzo zadowolona. Polecam,1
"jak każda inna ,ja płace firma dostarcza towar-szczerze mówią nie wiem czego oczekujecie? Chcecie wiedzieć ile diabłów
mieści się na łepku szpilki ? To pytanie do teologów .Pozdrawiam",1
Bardzo dobra obsługa i szybki czas przybycia przesyłki,1
Transakcja przebiegła sprawnie i towar został szybko dostarczony.,1
"Szybko i bezproblemowa. Przesyłka dotarła szybko, dobrze zapakowana a filtr pasował idealnie mimo , że innej marki. Polecam serdecznie",1
Profesjonalnie i bardzo sprawnie. Sympatyczna obsługa,1
"Transakcja przebiegła bardzo szybko i sprawnie,produkt zgodny z zamówieniem,sprzedawca godny polecenia",1
Transakcja szybka i profesjonalna,1
Jak zawsze wszystko bez problemów,1
Profesjonalna obsługa. Szybka transakcja. Polecam sklep.,1
Profesjonalna obsługa. Kabel niestety nie pasował do mojej lodówki - musiałem zwrócić. Zwrot był szybki i bezproblemowy. Polecam sprzedawcę.,1
Mój podstawowy skarbiec części zamiennych :),1
Szybko i profesjonalnie. Polecam sklep.,1
"Błyskawicznie, uczciwie i bezproblemowo. Polecam sprzedawcę.",1
"Szybka dostawa, jestem bardzo zadowolony, polecam...",1
Transakcja przebiegła bez jakichkolwiek problemów. Polecam.,1
ekspresowa wysyłka towar zgodny z opisem polecam,1
Wszystko jak najbardziej w porządku!,1
Profesjonalna obsługa błyskawiczna realizacja zamówienia.Polecam wszystkim.,1
Wszystko sprawnie i zgodnie z opisem,1
Profesjonalna obsługa polecam super,1
"Polecam. Termin dostawy trochę długi, ale i tak przyszło tydzień wcześniej przed planowanym terminem.",1
PROFESJONALNA OBSŁUGA. POLECAM JAK NAJBARDZIEJ ZAKUPY W TYM SKLEPIE. TRANSAKCJA SZYBKA I PRZYJEMNA,1
"Transakcja przebiegła pomyślnie, towar zgodny z zamówieniem.",1
Jestem bardzo zadowolony z profesjonalnej obsługi klienta przez sprzedawców north.pl.,1
bardzo pomyślnie polecam tego sprzedawce polecę go innym,1
Transakcja przebiegła wzorowo i z czystym sumieniem mogę polecić innym usługi sklepu north.pl,1
Profesjonalna obsługa. Będę nadal kupować,1
"po raz kolejny super, na 100 %, wszystkim polecam, pozdrawiam",1
Jest ok. Miało być trzy tygodnie  doszło w tydzień. Nie spodziewałem się. Dałbym 6+.,1
bardzo szybko towar zgodny z opisem,1
"Profesjonalna obsługa, wszystko w porządku. Polecam.",1
TRANSAKCJA PRZEBIEGŁA POMYŚLNIE I BEZ PROBLEMÓW. POLECAM.,1
Szybka i profesjonalna obsługa.,1
"Świetny kontakt, miła obsługa, towar w 100% zgodny z oczekiwaniami. Szczerze polecam!",1
Profesjonalna obsługa . szybko i sprawnie,1
"bardzo sprawnie, ze szczegółową informacją przebiegu transakcji",1
Bardzo profesjonalnie pomogli dobrać mi części do tv,1
Polecam zakupy w tym sklepie. Transakcja przebiegła szybko i  pomyślnie.Obsluga profesjonalna ..,1
"Profesjonalna obsługa,otrzymany towar zgodny z zamówieniem,transakcja przebiegła sprawnie,zawartość przesyłki sprawdzona przy kurierze.Polecam!",1
"Profesjonalna obsługa , szybka wysyłka. Polecam.",1
"transakcja szybka i przyjrmna, polecam",1
Transakcja przebiegła bez zastrzeżeń,1
fachowa pomocna obsługa zamówienie otrzymałem  określonym terminie polecam sklep,1
Towar zgodny z opisem. Polecam!,1
"north.pl - powinna rozejrzeć się za inną niż ""inpost"" firmą kurierską  - przynajmniej w Bydgoszczy",1
"błyskawicznie, wszystko zgodne z opisem , polecam",1
"Bardzo szybko, sprawnie bez problemów, tak jak powinno być.",1
Profesjonalna obsługa. Szybko. Dokładnie. Polecam firmę,1
Proponuj optymalizację pakowania. Zbyt duże opakowania kłócą się z moją proekologiczną naturą.,1
bardzo szybka dostawa do paczkomatu - odebrałem w 24 godziny - polecam,1
Polecam ten sklep w razie potrzeby bede korzystal .,1
Transakcja przebiegła szybko. Jestem bardzo zadowolona. Jednego dnia zamówiłam a na drugi dzień już przesyłka była.,1
Bardzo dobrze wzór konspekt ! Polecam usługi Firmy NORTH.PL,1
"Dobry kontakt, wszystko przejrzyste, bez zarzutu.",1
Pozytywnie. Sklep OK. Kupowałem w nim kilkukrotnie.,1
"Transakcja na najwyższym poziomie, doradzili, szybka wysyłka, polecam serdecznie.",1
Transakcja bardzo szybka. Towar zgodny z opisem . Polecam bardzo.,1
Polecam zakupy w tym sklepie. Towar zgodny z opisem dobrze zabezpieczony.Wszystko OK!,1
Płatność przy odbiorze bardzo wygodne i szybkie rozwiązanie. Zamówione artykuły miałem już następnego dnia,1
Przesyłka na drugi dzień. Towar zgodny z zamówieniem. Polecam,1
Pomyślnie. Chciałbym tylko troszkę niższe ceny,1
Bez problemów i bardzo szybko. Polecam,1
Wszystko w jak najlepszym porządku.,1
"super sprzedawca,polecam wszystkim.",1
Towar pasuje wszystko szybko i sprawnie,1
Polecam. Nie mam żadnych zastrzeżeń.,1
Polecam zakupy w tym sklepie. Szybka wysyłka i pełne info o statusie zamówienia i przesyłki.,1
Szybko i konkretnie. Towar zgodny z opisem,1
Transakcja przebiegła błyskawicznie.,1
Dziękuję za szybką i profesjonalną obsługę. Wszystko ok. Zakupiony towar spełnił moje oczekiwania.,1
"Profesjonalna obsługa szybką, zakup trafiony, dostawa do dwóch dni.",1
Od kilku lat robię zakupy w tym sklepie. Nie mogę im nic zarzucić. Polecam.,1
Polecam. Pełne doradztwo i szybka wysyłka.,1
Profesjonalna obsługa. Jak najbardziej polecam zakupy w tym sklepie. Transakcja okazała się szybka i przyjemna.,1
